nombre_cientifico,nombre_comun,origen,manejo,forma_de_vida,imagen_url,descripcion_uso
Cordia alliodora,Bojón,América tropical,silvestre,árbol,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Cordia%20alliodora.jpg,Árbol conocido por su madera; algunas preparaciones tradicionales de la corteza se han usado para tratar infecciones leves o inflamaciones.
Cordia dodecandra,Sincote ciricote,América tropical,silvestre,árbol,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Cordia%20dodecandra.jpg,El fruto se consume en dulces tradicionales; en algunas regiones se emplea en remedios caseros para problemas digestivos.
Cordia sebestena,Candelero roble blanco,América tropical,cultivada,árbol,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Cordia%20sebestena.jpg,Planta ornamental; en medicina tradicional algunas partes se han usado para tratar tos e inflamaciones leves.
Coriandrum sativum L.,Cilantro,Mediterráneo,cultivada,hierba,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Coriandrum%20sativum%20L..jpg,Hierba culinaria utilizada para favorecer la digestión y aliviar gases intestinales; también aporta compuestos antioxidantes.
Costus pulverulentus,Cañita agria (Tepeap),México Centroamérica y Sudamérica,silvestre,arbusto,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Costus%20pulverulentus.jpg,"En medicina tradicional se usa en infusiones para tratar problemas digestivos, inflamación y afecciones urinarias."
Costus spicatus,Cañita agria (Lacu),México,silvestre,hierba,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Costus%20spicatus.jpg,"Planta usada tradicionalmente para tratar problemas renales, inflamación y diabetes en algunas comunidades."
Couepia polyandra,Uspí uspio,México a América Central,tolerada,árbol,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Couepia%20polyandra.jpg,Consumir partes no comestibles de la planta puede provocar náuseas o irritación gastrointestinal.
Crescentia alata,Coquito de jimba B&K,América,silvestre tolerada,árbol,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Crescentia%20alata.jpg,en medicina tradicional algunas partes se han usado para tratar tos y afecciones respiratorias.
Crescentia cujete,Jícara jícaro,América tropical,silvestre,árbol,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Crescentia%20cujete.jpg,"la pulpa se ha utilizado tradicionalmente para tratar tos, resfriados y problemas respiratorios."
Cryosophila stauracantha (Heynh.) R.J.Evans,Miste mis-te escoba,Mesoamérica,silvestre,palma,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Cryosophila%20stauracantha%20(Heynh.)%20R.J.Evans.jpg,"No se considera venenosa, pero ingerir hojas o frutos puede causar malestar digestivo."
Cucumis sativus,Pepino,Centro-oeste China,cultivada,hierba,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Cucumis%20sativus.jpg,Fruto consumido como alimento refrescante; se usa tradicionalmente para hidratación y cuidado de la piel.
Cucurbita argyrosperma,Chigua,México y Guatemala,cultivada,hierba,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Cucurbita%20argyrosperma%20subsp..jpg,las semillas se usan tradicionalmente para problemas digestivos y parásitos.
Cucurbita argyrosperma subsp.,Guano de sombrero soyaal,Sureste de México a Bolivia,silvestre,hierba,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Cucurbita%20argyrosperma.jpg,"Las semillas y fruto suelen ser comestibles, pero si contienen cucurbitacinas pueden provocar náuseas, vómitos y diarrea."
Cucurbita moschata,Calabaza,América tropical,cultivada,hierba,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Cucurbita%20moschata.jpg,las semillas se han usado tradicionalmente para tratar parásitos intestinales.
Cupania dentata Moc. & Sesse ex DC.,Quiebradacha jaboncillo,Mexico Honduras,silvestre,arbusto,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Cupania%20dentata%20Moc.%20&%20Sesse%20ex%20DC..jpg,Árbol tropical cuyas semillas y corteza se han usado en medicina tradicional para afecciones de la piel.
Cyclamen europaeum,Violeta de los Alpes flor de tierra,Europa,cultivada,hierba,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Cyclamen%20europaeum.jpg,"Sus tubérculos contienen saponinas que pueden causar vómitos, diarrea e irritación intestinal."
Cydista aequinoctialis,Flor de ajo bejuco de ajo,América tropical,cultivada,bejuco,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Cydista%20aequinoctialis.jpg,"En medicina tradicional se usa en infusiones para tratar resfriados, inflamación y algunas infecciones."
Cymbopogon citratus,Zacate limón,Sur de India y Ceilán,cultivada,hierba,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Cymbopogon%20citratus.jpg,"Muy usado en infusiones para aliviar problemas digestivos, nerviosismo y resfriados leves."
Dactyloctenium aegyptium,Zacate estrella,África,cultivada,hierba,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Dactyloctenium%20aegyptium.jpg,Pasto no comestible para humanos; ingerirlo puede causar irritación digestiva leve.
Dahlia variabilis,Dalia,Centroamérica,cultivada,hierba,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Dahlia%20variabilis.jpg,"Los tubérculos de algunas dalias pueden comerse, pero normalmente no se consumen; ingerir partes puede causar malestar estomacal leve."
Eichhornia crassipes,Lirio acuático,Sur de América tropical,silvestre,hierba,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Eichhornia%20crassipes.JPG,Planta acuática usada en algunos lugares para tratar inflamaciones o problemas cutáneos.
Eleusine indica,Zacate alemán,África,cultivada,hierba,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Eleusine%20indica.jpg,Hierba usada en medicina tradicional en algunas regiones para tratar fiebre y problemas digestivos.
Epaltes mexicana,Hoja de sapo hierba del topo,México,silvestre,hierba,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Epaltes%20mexicana.jpg,"En medicina tradicional se emplea para tratar infecciones, inflamaciones y afecciones de la piel."
Eryngium foetidum L.,Perejil,México y Centroamérica,cultivada/silvestre,hierba,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Eryngium%20foetidum%20L..jpg,"Hierba aromática usada en la cocina y en medicina tradicional para aliviar problemas digestivos, resfriados y fiebre."
Escobedia linearis Schltdl.,Azafranillo,América tropical,cultivada,hierba,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Escobedia%20linearis%20Schltdl..jpg,Planta utilizada en medicina tradicional para tratar infecciones leves y problemas digestivos; también se ha empleado en remedios para la piel.
Eupatorium morifolium,Hoja de viento (Centro),América tropical,silvestre,hierba,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Eupatorium%20morifolium.jpg,"En algunas regiones se usa en infusiones tradicionales para tratar fiebre, inflamación y malestares respiratorios."
Foeniculum vulgare P. Mill.,Hinojo,Sur de Europa,cultivada,hierba,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Foeniculum%20vulgare%20P.%20Mill..jpg,"Las semillas se usan en infusiones para aliviar gases, cólicos y problemas digestivos; también se emplea como expectorante suave."
Garcinia intermedia,Limoncillo limón de montaña,América,cultivada,arbusto,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Garcinia%20intermedia.jpg,El fruto es comestible; no se conocen efectos tóxicos si se consume normalmente.
Gardenia jasminoides,Gardenia,Sur de Asia,cultivada,arbusto,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Gardenia%20jasminoides.webp,En medicina tradicional asiática algunas partes se han usado para tratar fiebre e inflamaciones.
Genipa americana,Jagua,Noreste de Sudamérica,silvestre cultivada,árbol,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Genipa%20americana.jpeg,en medicina tradicional se ha usado para tratar infecciones y problemas digestivos.
Geonoma interrupta,Polaí sacúb palma de chicle,América tropical,silvestre,palma,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Geonoma%20interrupta.jpg,No se consume; ingerir partes vegetales puede causar malestar digestivo.
Geophila macropoda,Chocolatillo,América tropical,silvestre,arbusto,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Geophila%20macropoda.jpg,algunos usos tradicionales la mencionan para tratar inflamaciones leves.
Gomphrena serrata L.,Siempreviva bacalillo,México,cultivada,hierba,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Gomphrena%20serrata%20L..jpg,"En medicina tradicional se utiliza para tratar inflamaciones, infecciones leves y afecciones respiratorias."
Gonolobus uniflorus,Paloma palomita,América tropical,cultivada,bejuco,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Gonolobus%20uniflorus.jpg,Puede contener compuestos similares a los de las asclepiadáceas; ingerirla puede causar náuseas o toxicidad leve.
Guazuma ulmifolia Lam.,Guácimo,América tropical,silvestre,árbol,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Guazuma%20ulmifolia%20Lam..jpg,"La corteza y hojas se usan en medicina tradicional para tratar diarrea, inflamación y afecciones respiratorias."
Gynerium sagittatum,Caña brava,América tropical,cultivada,hierba,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Gynerium%20sagittatum.jpg,No es comestible; ingerirlo puede causar irritación digestiva.
Hedychium coronarium J.König,Blancas mariposas,India subcontinente de Taiwán,cultivada,hierba,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Hedychium%20coronarium%20J.Konig.jpg,"En medicina tradicional se han usado sus rizomas para tratar inflamación, fiebre y algunas infecciones."
Helianthus annuus,Girasol,América boreal,cultivada,hierba,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Helianthus%20annuus.jpg,Las semillas son nutritivas y ricas en aceites; se consumen como alimento y fuente de antioxidantes.
Heliconia bihai,Cachete colorado amarillo,Sur de México a Sudamérica,tolerada,hierba,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Heliconia%20bihai.jpg,No se consume; no se reporta toxicidad fuerte pero puede causar malestar digestivo.
Heliconia latispatha,Tanaí platanillo,América tropical,silvestre,hierba,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Heliconia%20latispatha.jpg,Igual que otras heliconias: no comestible; posible irritación estomacal.
Heliocarpus appendiculatus Turcz.,Corcho,México y Centroamérica,silvestre,árbol,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Heliocarpus%20appendiculatus%20Turcz..jpg,Árbol cuya corteza se ha utilizado en medicina tradicional para tratar inflamaciones y afecciones cutáneas.
Heliocarpus donnellsmithii Rose,Jolotzin jolocin,México Guatemala y Nicaragua,silvestre,árbol,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Heliocarpus%20donnellsmithii%20Rose.jpg,No se consume; ingerir partes puede causar malestar gastrointestinal.
Heliotropium indicum,Rabo de mico cola de alacrán,Cosmopolita,silvestre,hierba,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Heliotropium%20indicum.jpg,"Se usa tradicionalmente para tratar heridas, inflamaciones y picaduras; algunas especies del género pueden ser tóxicas si se consumen en exceso."
Heliotropium ternatum,Heliotropo,América tropical,cultivada,arbusto,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Heliotropium%20ternatum.jpg,Planta usada en medicina tradicional para tratar inflamaciones y afecciones cutáneas leves.
Hybanthus attenuatus (Humb. et Bonpl.) Baill.,Trébol,Mesoamérica,silvestre,hierba,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Hybanthus%20attenuatus%20(Humb.%20et%20Bonpl.)%20Baill..jpg,"En algunas tradiciones se usa para tratar inflamaciones o infecciones leves, aunque su uso medicinal es poco documentado."
Impatiens balsamina,Miramellindo,India y sureste de Asia,cultivada,hierba,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Impatiens%20balsamina.jpg,en medicina tradicional algunas partes se han usado para tratar inflamaciones de la piel y heridas leves.
Inga jinicuil,Cujinicuil jinicuil,México América tropical,cultivada,árbol,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Inga%20jinicuil.jpg,El fruto es comestible y nutritivo; algunas preparaciones de la corteza se han usado tradicionalmente para problemas digestivos.
Inga punctata,Chelele biche,América tropical,silvestre tolerada,árbol,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Inga%20punctata.jpg,El fruto (pulpa) puede ser comestible en algunas especies; no se reporta toxicidad común.
Inga vera,Guatope,América tropical,silvestre cultivada,árbol,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Inga%20vera.jpg,en algunas regiones la corteza se ha usado en medicina tradicional para tratar diarrea.
Ipomoea aquatica,Nalta,América tropical,silvestre,bejuco,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Ipomoea%20aquatica.jpg,en medicina tradicional se ha usado para favorecer la digestión.
Ipomoea batatas,Camote,América y Oeste de los Andes,cultivada,bejuco,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Ipomoea%20batatas.jpg,Raíz comestible rica en vitaminas; se consume como alimento nutritivo y fuente de energía.
Ixora chinensis,Ixora,Sureste de China a Indo China,cultivada,arbusto,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Ixora%20chinensis.jpg,se han usado flores y hojas para tratar diarrea o afecciones de la piel.
Jasminum sambac,Jazmín,Bhután a India,cultivada,hierba,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Jasminum%20sambac.jpg,Las flores aromáticas se usan en infusiones y aromaterapia para promover la relajación y aliviar estrés leve.
Juanulloa mexicana (Cav.) J.L.Gentry,Carricillo,América,silvestre tolerada,hierba,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Juanulloa%20mexicana%20(Cav.)%20J.L.Gentry.jpg,Pertenece a la familia del tomate; algunas especies contienen alcaloides que pueden causar náuseas o intoxicación leve.
Juncus effusus,Junco,Hemisferio Norte templado,silvestre,hierba,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Juncus%20effusus.jpg,No se consume; ingerirlo puede causar irritación digestiva.
Justicia spicigera Schltdl.,Riñonina de playa añil tinta,México a Colombia,cultivada/silvestre,arbusto,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Justicia%20spicigera%20Schltdl..jpg,"Muy usada en medicina tradicional para tratar anemia, problemas digestivos y para preparar infusiones medicinales."
Kalanchoe daigremontiana,Mala madre,América tropical,cultivada,hierba,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Kalanchoe%20daigremontiana.jpg,En medicina tradicional se usa para tratar inflamación o heridas; su consumo interno puede ser tóxico y debe evitarse sin supervisión médica. 
Kalanchoe flammea,Belladona,América tropical,cultivada,hierba,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Kalanchoe%20flammea.jpg,"algunas especies del género se han usado en medicina tradicional para inflamaciones,"
Kalanchoe pinnata,Pericón Sanalotodo,África tropical y Madagascar,cultivada,hierba,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Kalanchoe%20pinnata.webp,"Muy usada en medicina tradicional para tratar heridas, inflamación, tos y problemas digestivos."
Lagenaria siceraria,Bush bejuco,África oriental,cultivada,hierba,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Lagenaria%20siceraria.jpg,en medicina tradicional se ha usado para problemas digestivos.
Lantana camara L.,Cinco negritos,América tropical,silvestre,hierba,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Lantana%20camara%20L..jpg,"en medicina tradicional se ha usado para tratar heridas y fiebre, pero sus frutos pueden ser tóxicos si se ingieren."
Leersia latifolia,Carrizo,Eurasia central,silvestre,hierba,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Leersia%20latifolia.jpeg,Pasto no comestible; puede causar malestar estomacal leve.
Leucaena leucocephala,Guaje,Texas a México,cultivada,árbol,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Leucaena%20leucocephala.jpg,en medicina tradicional se han usado para problemas digestivos y como antiparasitario.
Licania platypus,Pio choya de mico cabeza de mono caca de castilla,Mesoamérica,silvestre cultivada,árbol,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Licania%20platypus.jpg,El fruto de algunas especies es comestible; no se reporta toxicidad significativa.
Lippia alba (Mill.) N.E.Br. ex Britton & P.Wilson,Te de la abuela,América tropical y subtropical,silvestre cultivada,arbusto,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Lippia%20alba%20(Mill.)%20N.E.Br.%20ex%20Britton%20&%20P.Wilson.jpg,"Planta aromática usada en infusiones para tratar nerviosismo, insomnio, resfriados y problemas digestivos."
Lippia myriocephala Schltdl. & Cham.,Ceseniche,México a Centroamérica,silvestre,arbusto,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Lippia%20myriocephala%20Schltdl.%20&%20Cham..jpg,"Planta aromática utilizada en medicina tradicional para tratar resfriados, fiebre y malestares digestivos."
Lonchocarpus hondurensis,Palo de gusano,Mesoamérica,silvestre,árbol,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Lonchocarpus%20hondurensis.jpeg,usados tradicionalmente como insecticidas naturales; pueden ser tóxicos para humanos y animales.
Luehea speciosa Willd.,Patastillo,América tropical,silvestre,árbol,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Luehea%20speciosa%20Willd..jpg,"La corteza se ha utilizado en medicina tradicional para tratar inflamaciones, heridas y problemas digestivos."
Luffa aegyptiaca,Estropajo,India,escapada de cultivo,bejuco,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Luffa%20aegyptiaca.jpg,El fruto joven es comestible; el fruto maduro seco se usa como esponja natural para limpieza y exfoliación.
Lycianthes stephanocalyx (Brandegee) Bitter,Pichoso,Mesoamérica,silvestre tolerada,hierba,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Lycianthes%20stephanocalyx%20(Brandegee)%20Bitter.jpg,Puede contener alcaloides como otras solanáceas; ingerirla puede causar náuseas o intoxicación leve.
Lycopersicon esculentum L.,Tomate riñón,Mesoamérica,cultivada,hierba,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Lycopersicon%20esculentum%20L..jpg,Fruto ampliamente consumido como alimento; es rico en vitaminas y antioxidantes beneficiosos para la salud.
Mammea americana,Mamey,América tropical y Las Antillas,cultivada,árbol,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Mammea%20americana.webp,El fruto es comestible y nutritivo; algunas partes del árbol se han usado tradicionalmente para tratar parásitos.
Mangifera indica L.,Mango,India,cultivada,árbol,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Mangifera%20indica%20L..jpg,Fruto muy consumido por su valor nutricional; hojas y corteza se han usado en medicina tradicional para problemas digestivos.
Manilkara zapota (L.) P.Royen,Chicozapote chicle,Mesoamerica,silvestre,arbol,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Manilkara%20zapota%20(L.)%20P.Royen.jpg,El fruto es comestible y dulce; del árbol se obtiene látex utilizado tradicionalmente para producir chicle.
Melanthera deltoidea,Molito,América tropical,silvestre,hierba,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Melanthera%20deltoidea.jpg,Hierba silvestre usada en medicina tradicional para tratar inflamaciones y afecciones cutáneas.
Mirabilis jalapa,Maravilla,América tropical,cultivada,hierba,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Mirabilis%20jalapa.webp,en medicina tradicional algunas partes se han usado para tratar inflamaciones y afecciones de la piel.
Momordica charantia,Cundeamor,África tropical,escapada de cultivo,bejuco,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Momordica%20charantia.jpg,Planta medicinal utilizada tradicionalmente para ayudar a controlar niveles de glucosa y problemas digestivos.
Monstera deliciosa,Costilla de Adán,México y Centro América,cultivada/silvestre,epífita,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Monstera%20deliciosa.webp,"El fruto solo es comestible cuando está completamente maduro; verde puede causar ardor, irritación en boca y garganta"
Muntingia calabura L.,Capulín,América tropical,tolerada,arbusto,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Muntingia%20calabura%20L..avif,en medicina tradicional se ha usado para tratar resfriados y dolor de cabeza.
Murraya paniculata (L.) Jack,Limonaria muralla,Sureste asiatico Peninsula de Malasia,cultivada,arbusto,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Murraya%20paniculata%20(L.)%20Jack.jpg,"en medicina tradicional se ha usado para tratar dolor e inflamación.
"
Musa acuminata,Plátano macho,Tanzania Asia tropical y subtropical,cultivada,árbol,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Musa%20acuminata.jpg,"Fruto ampliamente consumido como alimento; rico en energía, vitaminas y minerales."
Musa x paradisiaca,Guineo banano,Indomalasia,cultivada,árbol,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Musa%20x%20paradisiaca.jpg,Fruto comestible muy nutritivo; se consume fresco o cocido y es fuente importante de potasio.
Myriocarpa izabalensis (Donn. Sm.) Killip,Cholagogue,Mesoamérica,silvestre,árbol,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Myriocarpa%20izabalensis%20(Donn.%20Sm.)%20Killip.jpg,Planta silvestre; se reporta en medicina tradicional para algunos malestares digestivos.
Myrmecophyla sp.,Tanito,Mesoamérica,silvestre,epífita,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Myrmecophyla%20sp..jpg,Orquídea ornamental; no se consume y puede causar malestar digestivo leve.
Nicotiana tabacum L.,Tabaco,América tropical,cultivada,hierba,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Nicotiana%20tabacum%20L..jpg,tradicionalmente se ha usado en rituales y como repelente de insectos.
Ochroma pyramidale,Pomoy jubiuy,América tropical,silvestre tolerada,árbol,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Ochroma%20pyramidale.jpg,No se consume; ingerir partes puede causar irritación digestiva.
Odontonema callistachyum (Schltdl. & Cham.) Kuntze,Hoja de espanto,Mesoamérica,silvestre,hierba,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Odontonema%20callistachyum%20(Schltdl.%20&%20Cham.)%20Kuntze.jpg,en medicina tradicional se ha usado para tratar sustos o malestares nerviosos.
Oeceoclades maculata,Orquídea de tierra,Sur de Florida México a América tropical,silvestre,hierba,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Oeceoclades%20maculata.jpg,"Orquídea terrestre; no comestible, puede causar malestar digestivo."
Oecopetalum mexicanum,Cacaté,México,silvestre,árbol,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Oecopetalum%20mexicanum.jpg,Árbol cuyo fruto es comestible y apreciado en algunas regiones; también se usa en preparaciones tradicionales.
Oncidium sphacelatum,Chorizo con huevo,México,silvestre,epífita,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Oncidium%20sphacelatum.jpg,Orquídea ornamental; no comestible. puede causar vomito. 
Opuntia vulgaris,Nopal,América tropical,silvestre,arbusto,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Opuntia%20vulgaris.jpg,Planta comestible muy utilizada en la alimentación; también se emplea tradicionalmente para problemas digestivos y control de glucosa.
Ormosia macrocalyx,Caracolillo,México América tropical,silvestre,árbol,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Ormosia%20macrocalyx.jpg,Tóxica. Las semillas contienen compuestos venenosos; ingerirlas puede causar intoxicación grave
Pachira aquatica,Zapote de agua,México a Colombia,silvestre tolerada,árbol,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Pachira%20aquatica.webp,"Las semillas pueden ser comestibles tostadas, pero crudas pueden causar malestar digestivo."
Pachystachys lutea Nees,Camaroncillo,Suroeste de América Suramérica,cultivada,arbusto,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Pachystachys%20lutea%20Nees.jpg,No es una planta comestible y en algunos casos puede producir alergias y ardor en la piel. 
Panicum lumensaeus,Pajón,América tropical,silvestre,hierba,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Panicum%20lumensaeus.jpg,ingerirlos puede causar irritación digestiva leve.
Panicum purpurascens,Zacate grito,África,cultivada,hierba,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Panicum%20purpurascens.jpg,puede causar malestar digestivo.
Parmentiera aculeata,Cuajilote,México y Guatemala,cultivada,árbol,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Parmentiera%20aculeata.webp,Árbol cuyo fruto se utiliza en medicina tradicional para tratar problemas respiratorios y digestivos.
Paspalum virgatum,Zacate cabezón,Estados Unidos México Centro y Sudamérica Caribe,silvestre,hierba,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Paspalum%20virgatum.jpg,"Fruto generalmente comestible, pero en algunos casos puede provocar alergias. "
Passiflora ambigua,Jujo,América tropical,cultivada,bejuco,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Passiflora%20ambigua.jpg,Fruto generalmente comestible; no se reporta toxicidad importante.
Passiflora coriacea,Hoja de murciélago,México a Bolivia,silvestre,bejuco,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Passiflora%20coriacea.jpg,No se consume normalmente; ingerir partes puede causar malestar digestivo.
Passiflora edulis,Maracuyá,Brasil,cultivada,bejuco,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Passiflora%20edulis.jpg,"Planta cultivada por su fruto comestible, utilizado en jugos y alimentos por su alto valor nutritivo."
Passiflora foetida,Jujillo peludo,Brasil trópicos de América,silvestre,bejuco,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Passiflora%20foetida.jpg,Bejuco silvestre con fruto pequeño comestible; en medicina tradicional se usa para inflamaciones.
Passiflora ligularis,Jujillo,América tropical,silvestre,bejuco,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Passiflora%20ligularis.webp,Fruto comestible y seguro.
Passiflora quadrangularis,Jugo melón,América del Sur,cultivada,bejuco,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Passiflora%20quadrangularis.jpg,"Fruto comestible, aunque consumir demasiado puede causar somnolencia o malestar digestivo."
Passiflora serratifolia,Jujo ratón,América tropical,silvestre,bejuco,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Passiflora%20serratifolia.avif,Fruto comestible; no se reportan efectos tóxicos relevantes.
Peperomia pellucida,Cristalillo,América tropical,silvestre,hierba,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Peperomia%20pellucida.jpg,Hierba silvestre usada en medicina tradicional para aliviar inflamaciones y molestias renales.
Petiveria alliacea,Zorrillo,Sur de Estados Unidos a Sudamérica,silvestre,hierba,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Petiveria%20alliacea.jpg,"Planta medicinal conocida por su olor fuerte; se usa tradicionalmente para infecciones, dolor e inflamaciones."
